time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-10-02 00:00:00+00:00,6,5,265,30
2023-10-03 00:00:00+00:00,11,8,147,45
2023-10-04 00:00:00+00:00,7,7,266,27
2023-10-05 00:00:00+00:00,6,5,243,31
2023-10-06 00:00:00+00:00,6,6,181,32
2023-10-07 00:00:00+00:00,5,5,116,31
2023-10-08 00:00:00+00:00,7,7,203,40
2023-10-09 00:00:00+00:00,7,6,102,41
2023-10-10 00:00:00+00:00,10,7,494,40
2023-10-11 00:00:00+00:00,5,5,210,41
2023-10-12 00:00:00+00:00,6,6,293,44
2023-10-13 00:00:00+00:00,11,10,157,48
2023-10-14 00:00:00+00:00,5,5,148,32
2023-10-15 00:00:00+00:00,4,4,112,32
2023-10-16 00:00:00+00:00,11,8,334,39
2023-10-17 00:00:00+00:00,3,3,135,37
2023-10-18 00:00:00+00:00,11,8,199,36
2023-10-19 00:00:00+00:00,13,9,158,40
2023-10-20 00:00:00+00:00,10,10,197,36
2023-10-21 00:00:00+00:00,6,5,122,21
2023-10-22 00:00:00+00:00,9,5,51,28
2023-10-23 00:00:00+00:00,7,6,172,31
2023-10-24 00:00:00+00:00,14,8,252,34
2023-10-25 00:00:00+00:00,9,7,153,46
2023-10-26 00:00:00+00:00,4,4,272,40
2023-10-27 00:00:00+00:00,8,8,114,32
2023-10-28 00:00:00+00:00,8,7,312,19
2023-10-29 00:00:00+00:00,4,4,114,26
2023-10-30 00:00:00+00:00,9,8,272,29
2023-10-31 00:00:00+00:00,4,3,293,32
2023-11-01 00:00:00+00:00,9,9,139,31
2023-11-02 00:00:00+00:00,3,3,235,35
2023-11-03 00:00:00+00:00,8,7,222,44
2023-11-04 00:00:00+00:00,25,8,285,32
2023-11-05 00:00:00+00:00,9,4,125,31
2023-11-06 00:00:00+00:00,11,8,103,37
2023-11-07 00:00:00+00:00,38,9,257,47
2023-11-08 00:00:00+00:00,48,16,279,46
2023-11-09 00:00:00+00:00,6,5,347,45
2023-11-10 00:00:00+00:00,4,3,328,26
2023-11-11 00:00:00+00:00,6,5,88,20
2023-11-12 00:00:00+00:00,4,4,242,34
2023-11-13 00:00:00+00:00,10,8,318,48
2023-11-14 00:00:00+00:00,13,9,298,41
2023-11-15 00:00:00+00:00,18,12,269,50
2023-11-16 00:00:00+00:00,13,10,154,49
2023-11-17 00:00:00+00:00,5,4,489,41
2023-11-18 00:00:00+00:00,4,3,137,29
2023-11-19 00:00:00+00:00,3,3,135,26
2023-11-20 00:00:00+00:00,6,4,108,33
2023-11-21 00:00:00+00:00,14,11,167,37
2023-11-22 00:00:00+00:00,15,12,344,40
2023-11-23 00:00:00+00:00,18,15,90,41
2023-11-24 00:00:00+00:00,12,12,135,38
2023-11-25 00:00:00+00:00,7,7,144,23
2023-11-26 00:00:00+00:00,7,7,266,30
2023-11-27 00:00:00+00:00,11,8,226,33
2023-11-28 00:00:00+00:00,5,5,425,40
2023-11-29 00:00:00+00:00,17,14,197,44
2023-11-30 00:00:00+00:00,19,7,186,33
2023-12-01 00:00:00+00:00,13,7,125,33
2023-12-02 00:00:00+00:00,4,4,192,21
2023-12-03 00:00:00+00:00,2,2,145,17
2023-12-04 00:00:00+00:00,14,8,375,48
2023-12-05 00:00:00+00:00,6,6,270,48
2023-12-06 00:00:00+00:00,5,5,260,32
2023-12-07 00:00:00+00:00,19,10,241,36
2023-12-08 00:00:00+00:00,11,10,285,33
2023-12-09 00:00:00+00:00,4,4,673,32
2023-12-10 00:00:00+00:00,3,3,376,20
2023-12-11 00:00:00+00:00,7,5,135,29
2023-12-12 00:00:00+00:00,9,6,186,30
2023-12-13 00:00:00+00:00,6,6,318,36
2023-12-14 00:00:00+00:00,6,4,182,59
2023-12-15 00:00:00+00:00,9,8,77,31
2023-12-16 00:00:00+00:00,11,7,254,22
2023-12-17 00:00:00+00:00,8,7,126,31
2023-12-18 00:00:00+00:00,15,5,159,40
2023-12-19 00:00:00+00:00,7,6,144,35
2023-12-20 00:00:00+00:00,9,7,290,52
2023-12-21 00:00:00+00:00,7,6,156,38
2023-12-22 00:00:00+00:00,4,4,207,31
2023-12-23 00:00:00+00:00,4,4,232,26
2023-12-24 00:00:00+00:00,3,3,68,19
2023-12-25 00:00:00+00:00,5,4,111,35
2023-12-26 00:00:00+00:00,6,6,222,43
2023-12-27 00:00:00+00:00,9,8,170,32
2023-12-28 00:00:00+00:00,2,2,258,38
2023-12-29 00:00:00+00:00,6,6,301,36
2023-12-30 00:00:00+00:00,5,5,232,29
2023-12-31 00:00:00+00:00,5,3,240,19
2024-01-01 00:00:00+00:00,8,6,242,27
2024-01-02 00:00:00+00:00,5,5,207,44
2024-01-03 00:00:00+00:00,5,5,206,53
2024-01-04 00:00:00+00:00,6,5,356,46
2024-01-05 00:00:00+00:00,5,5,157,44
2024-01-06 00:00:00+00:00,6,6,308,35
2024-01-07 00:00:00+00:00,7,6,118,22
2024-01-08 00:00:00+00:00,7,6,382,65
2024-01-09 00:00:00+00:00,11,11,107,40
2024-01-10 00:00:00+00:00,8,5,204,37
2024-01-11 00:00:00+00:00,10,9,240,48
2024-01-12 00:00:00+00:00,4,4,112,28
2024-01-13 00:00:00+00:00,9,6,97,18
2024-01-14 00:00:00+00:00,6,5,268,27
2024-01-15 00:00:00+00:00,13,11,589,41
2024-01-16 00:00:00+00:00,10,7,241,52
2024-01-17 00:00:00+00:00,4,4,128,34
2024-01-18 00:00:00+00:00,9,7,299,48
2024-01-19 00:00:00+00:00,6,5,326,47
2024-01-20 00:00:00+00:00,5,4,327,31
2024-01-21 00:00:00+00:00,6,6,172,26
2024-01-22 00:00:00+00:00,9,8,137,34
2024-01-23 00:00:00+00:00,3,3,167,32
2024-01-24 00:00:00+00:00,5,5,184,30
2024-01-25 00:00:00+00:00,8,6,105,31
2024-01-26 00:00:00+00:00,5,5,231,38
2024-01-27 00:00:00+00:00,4,4,289,28
2024-01-28 00:00:00+00:00,5,5,157,25
2024-01-29 00:00:00+00:00,5,4,329,36
2024-01-30 00:00:00+00:00,2,2,242,40
2024-01-31 00:00:00+00:00,3,3,204,34
2024-02-01 00:00:00+00:00,4,4,473,35
2024-02-02 00:00:00+00:00,7,7,177,43
2024-02-03 00:00:00+00:00,6,5,152,26
2024-02-04 00:00:00+00:00,6,6,203,33
2024-02-05 00:00:00+00:00,9,8,282,38
2024-02-06 00:00:00+00:00,3,3,94,34
2024-02-07 00:00:00+00:00,4,4,367,37
2024-02-08 00:00:00+00:00,8,4,183,26
2024-02-09 00:00:00+00:00,5,5,158,29
2024-02-10 00:00:00+00:00,6,6,108,21
2024-02-11 00:00:00+00:00,3,3,164,17
2024-02-12 00:00:00+00:00,6,5,88,29
2024-02-13 00:00:00+00:00,1,1,281,25
2024-02-14 00:00:00+00:00,7,5,344,33
2024-02-15 00:00:00+00:00,4,4,236,42
2024-02-16 00:00:00+00:00,3,3,142,34
2024-02-17 00:00:00+00:00,5,4,262,30
2024-02-18 00:00:00+00:00,5,4,133,30
2024-02-19 00:00:00+00:00,6,5,166,35
2024-02-20 00:00:00+00:00,7,7,198,41
2024-02-21 00:00:00+00:00,6,5,80,30
2024-02-22 00:00:00+00:00,10,9,362,46
2024-02-23 00:00:00+00:00,7,7,146,50
2024-02-24 00:00:00+00:00,7,7,139,29
2024-02-25 00:00:00+00:00,9,9,273,34
2024-02-26 00:00:00+00:00,11,9,399,36
2024-02-27 00:00:00+00:00,5,5,137,43
2024-02-28 00:00:00+00:00,4,4,53,33
2024-02-29 00:00:00+00:00,7,7,389,50
2024-03-01 00:00:00+00:00,2,2,315,33
2024-03-02 00:00:00+00:00,4,4,147,32
2024-03-03 00:00:00+00:00,1,1,171,26
